date,time,weekday,location_id,location_name,gym_people_num,gym_max_people_num,sw_people_num,sw_max_people_num
2026-08-15,02:09,Saturday,JJSC,中正,0,150,0,200
2026-08-15,02:09,Saturday,NGSC,南港,0,0,0,0
2026-08-15,02:09,Saturday,NHSC,內湖,0,130,0,200
2026-08-15,02:09,Saturday,SLSC,士林,0,100,0,200
2026-08-15,02:09,Saturday,SSSC,松山,0,100,0,400
2026-08-15,02:09,Saturday,WHSC,萬華,0,150,0,100
2026-08-15,02:09,Saturday,WSSC,文山,0,110,0,200
2026-08-15,02:09,Saturday,XYSC,信義,0,65,0,165
2026-08-15,02:09,Saturday,ZSSC,中山,0,50,0,150
2026-08-15,04:04,Saturday,BTSC,北投,0,60,0,200
2026-08-15,04:04,Saturday,DASC,大安,0,80,0,250
2026-08-15,04:04,Saturday,DTSC,大同,0,80,0,250
2026-08-15,04:04,Saturday,JJSC,中正,0,150,0,200
2026-08-15,04:04,Saturday,NGSC,南港,0,0,0,0
2026-08-15,04:04,Saturday,NHSC,內湖,0,130,0,200
2026-08-15,04:04,Saturday,SLSC,士林,0,100,0,200
2026-08-15,04:04,Saturday,SSSC,松山,0,100,0,400
2026-08-15,04:04,Saturday,WHSC,萬華,0,150,0,100
2026-08-15,04:04,Saturday,WSSC,文山,0,110,0,200
2026-08-15,04:04,Saturday,XYSC,信義,0,65,0,165
2026-08-15,04:04,Saturday,ZSSC,中山,0,50,0,150
2026-08-15,05:03,Saturday,BTSC,北投,0,60,0,200
2026-08-15,05:03,Saturday,DASC,大安,0,80,0,250
2026-08-15,05:03,Saturday,DTSC,大同,0,80,0,250
2026-08-15,05:03,Saturday,JJSC,中正,0,150,0,200
2026-08-15,05:03,Saturday,NGSC,南港,0,0,0,0
2026-08-15,05:03,Saturday,NHSC,內湖,0,130,0,200
2026-08-15,05:03,Saturday,SLSC,士林,0,100,0,200
2026-08-15,05:03,Saturday,SSSC,松山,0,100,0,400
2026-08-15,05:03,Saturday,WHSC,萬華,0,150,0,100
2026-08-15,05:03,Saturday,WSSC,文山,0,110,0,200
2026-08-15,05:03,Saturday,XYSC,信義,0,65,0,165
2026-08-15,05:03,Saturday,ZSSC,中山,0,50,0,150
2026-08-15,05:57,Saturday,BTSC,北投,0,60,0,200
2026-08-15,05:57,Saturday,DASC,大安,0,80,0,250
2026-08-15,05:57,Saturday,DTSC,大同,0,80,0,250
2026-08-15,05:57,Saturday,JJSC,中正,0,150,0,200
2026-08-15,05:57,Saturday,NGSC,南港,0,0,0,0
2026-08-15,05:57,Saturday,NHSC,內湖,0,130,0,200
2026-08-15,05:57,Saturday,SLSC,士林,0,100,0,200
2026-08-15,05:57,Saturday,SSSC,松山,0,100,0,400
2026-08-15,05:57,Saturday,WHSC,萬華,0,150,0,100
2026-08-15,05:57,Saturday,WSSC,文山,0,110,0,200
2026-08-15,05:57,Saturday,XYSC,信義,0,65,0,165
2026-08-15,05:57,Saturday,ZSSC,中山,0,50,1,150
2026-08-15,06:54,Saturday,BTSC,北投,12,60,55,200
2026-08-15,06:54,Saturday,DASC,大安,16,80,60,250
2026-08-15,06:54,Saturday,DTSC,大同,20,80,51,250
2026-08-15,06:54,Saturday,JJSC,中正,25,150,40,200
2026-08-15,06:54,Saturday,NGSC,南港,0,0,0,0
